"Bacteria","CV","Mode","PrimaryF","PrimarySig","PrimaryPenOut","ERA5F","ERA5Sig","ERA5PenOut","MERRA2F","MERRA2Sig","MERRA2PenOut","PrimaryOR","ERA5OR","MERRA2OR","EvalAltSources","PrimarySupported","SigRetainedRate","Curve_r_Mean","ShapeAgreementRate","DirectionAgreementRate","MagnitudeRatioMean","ReversalSubstantiveRate","Robustness","RobustnessReason"
"3GCR-Kp","Humidity","full",1.04,"**",FALSE,1.66,"***",FALSE,0.7,"*",FALSE,1.098,1.116,1.065,"MERRA2",TRUE,1,0.898,0,1,0.668,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"3GCR-Kp","Humidity","common",0.49,"*",FALSE,0.84,"**",FALSE,0,"ns",TRUE,1.084,1.094,1,"MERRA2",TRUE,0,0.592,1,1,0,0,"Product-sensitive (lost)","Primary model was supported, but all independent alternative sources lost the association."
"3GCR-Kp","WetDays","full",0,"ns",TRUE,0,"ns",TRUE,0,"ns",TRUE,1,1,1,"ERA5, MERRA2",FALSE,0,0.202,1,1,NA,0,"Robust (consistently NS)","Primary model was non-significant or penalized out, and all independent alternative sources remained non-significant."
"3GCR-Kp","WetDays","common",0,"ns",TRUE,0,"ns",TRUE,0.02,"ns",FALSE,1,1,1.007,"ERA5, MERRA2",FALSE,0,0.13,0,0.5,NA,0,"Robust (consistently NS)","Primary model was non-significant or penalized out, and all independent alternative sources remained non-significant."
"CR-Ab","Temperature","full",23.61,"***",FALSE,15.18,"***",FALSE,0.19,"ns",FALSE,1.773,1.521,1.063,"ERA5, MERRA2",TRUE,0.5,0.701,0.5,1,0.419,0,"Robust (minor variation)","The association was retained in at least one independent alternative source and the overall pattern remained broadly consistent, with moderate variation in magnitude or shape."
"CR-Ab","Temperature","common",20.2,"***",FALSE,11.31,"***",FALSE,0,"ns",TRUE,1.852,1.552,1,"ERA5, MERRA2",TRUE,0.5,0.962,0,1,0.357,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ab","Precipitation","full",1.12,"**",FALSE,0.7,"*",FALSE,0,"ns",TRUE,1.162,1.157,1,"ERA5, MERRA2",TRUE,0.5,0.453,0,1,0.484,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ab","Precipitation","common",1.16,"**",FALSE,0.81,"*",FALSE,0,"ns",TRUE,1.099,1.147,1,"ERA5, MERRA2",TRUE,0.5,0.76,0,1,0.727,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ab","Humidity","full",0,"ns",TRUE,0,"ns",TRUE,0.24,".",FALSE,1,1,0.892,"MERRA2",FALSE,0,-0.66,0,0,NA,0,"Robust (consistently NS)","Primary model was non-significant or penalized out, and all independent alternative sources remained non-significant."
"CR-Ab","Humidity","common",0,"ns",TRUE,0,"ns",TRUE,2.3,"***",FALSE,1,1,0.888,"MERRA2",FALSE,1,0.505,0,0,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"CR-Ab","WetDays","full",0.36,"*",FALSE,0.53,"*",FALSE,3.25,"***",FALSE,0.93,0.829,0.944,"ERA5, MERRA2",TRUE,1,0.72,0.5,1,1.698,0,"Robust (minor variation)","The association was retained in at least one independent alternative source and the overall pattern remained broadly consistent, with moderate variation in magnitude or shape."
"CR-Ab","WetDays","common",0.35,"*",FALSE,0.55,"**",FALSE,1.42,"**",FALSE,0.933,0.816,0.815,"ERA5, MERRA2",TRUE,1,0.762,0,1,2.941,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ec","Temperature","full",3.3,"***",FALSE,1.38,"*",FALSE,3.07,"***",FALSE,0.921,0.946,0.918,"ERA5, MERRA2",TRUE,1,-0.08,0,1,0.854,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ec","Temperature","common",3.18,"**",FALSE,1.32,"*",FALSE,2.21,"**",FALSE,0.916,0.945,0.929,"ERA5, MERRA2",TRUE,1,0.222,0.5,1,0.747,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ec","Precipitation","full",0.2,".",FALSE,0.51,"*",FALSE,0,"ns",TRUE,1.017,1.028,1,"ERA5, MERRA2",FALSE,0.5,0.961,0.5,1,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"CR-Ec","Precipitation","common",0,"ns",TRUE,0.51,"*",FALSE,0,"ns",TRUE,1,1.026,1,"ERA5, MERRA2",FALSE,0.5,0.98,0.5,1,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"CR-Ec","Humidity","full",0,"ns",TRUE,0,"ns",TRUE,0,"ns",TRUE,1,1,1,"MERRA2",FALSE,0,-0.233,0,1,NA,0,"Robust (consistently NS)","Primary model was non-significant or penalized out, and all independent alternative sources remained non-significant."
"CR-Ec","Humidity","common",0,"ns",TRUE,0,"ns",TRUE,0,"ns",TRUE,1,1,1,"MERRA2",FALSE,0,-0.952,0,0,NA,0,"Robust (consistently NS)","Primary model was non-significant or penalized out, and all independent alternative sources remained non-significant."
"CR-Ec","WetDays","full",3.42,"***",FALSE,1.09,"**",FALSE,1.06,"**",FALSE,0.997,0.966,0.981,"ERA5, MERRA2",TRUE,1,0.256,0.5,1,NA,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Ec","WetDays","common",2.66,"***",FALSE,1.05,"**",FALSE,0.9,"**",FALSE,1.018,0.966,0.983,"ERA5, MERRA2",TRUE,1,0.355,0.5,0,NA,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Kp","Temperature","full",3.65,"***",FALSE,2.89,"***",FALSE,7.75,"***",FALSE,1.358,1.17,1.275,"ERA5, MERRA2",TRUE,1,0.65,0.5,1,0.653,0,"Robust (minor variation)","The association was retained in at least one independent alternative source and the overall pattern remained broadly consistent, with moderate variation in magnitude or shape."
"CR-Kp","Temperature","common",3.22,"***",FALSE,2.11,"**",FALSE,6.93,"***",FALSE,1.38,1.1,1.243,"ERA5, MERRA2",TRUE,1,0.137,1,1,0.485,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Kp","Precipitation","full",0.78,"*",FALSE,1.22,"*",FALSE,0,"ns",TRUE,0.907,1.054,1,"ERA5, MERRA2",TRUE,0.5,-0.25,0,0,0.271,0.5,"Product-sensitive (reversal)","The high-versus-low exposure contrast reversed direction in at least one independent alternative source with a non-trivial percentile-based effect magnitude."
"CR-Kp","Precipitation","common",0.67,"**",FALSE,0.99,"*",FALSE,0,"ns",TRUE,0.914,1.059,1,"ERA5, MERRA2",TRUE,0.5,0.357,0,0,0.317,0.5,"Product-sensitive (reversal)","The high-versus-low exposure contrast reversed direction in at least one independent alternative source with a non-trivial percentile-based effect magnitude."
"CR-Kp","Humidity","full",0.03,"ns",FALSE,0,"ns",TRUE,1.37,"**",FALSE,1.016,1,0.786,"MERRA2",FALSE,1,-0.408,0,0,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"CR-Kp","Humidity","common",0,"ns",FALSE,0,"ns",TRUE,1.42,"***",FALSE,1.003,1,0.792,"MERRA2",FALSE,1,-0.315,0,0,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"CR-Kp","WetDays","full",4.11,"***",FALSE,0.12,"ns",FALSE,0.51,"*",FALSE,1.125,1.046,1.175,"ERA5, MERRA2",TRUE,0.5,0.5,0,1,0.877,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Kp","WetDays","common",4.65,"***",FALSE,0,"ns",TRUE,0.35,"*",FALSE,1.073,1,1.134,"ERA5, MERRA2",TRUE,0.5,0.339,0,1,0.896,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Pa","Temperature","full",0.71,"*",FALSE,3.25,"***",FALSE,2.69,"**",FALSE,1.073,1.03,1.033,"ERA5, MERRA2",TRUE,1,0.049,0.5,1,0.436,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Pa","Temperature","common",1.99,"**",FALSE,2.99,"***",FALSE,1.47,"*",FALSE,1.066,1.149,1,"ERA5, MERRA2",TRUE,1,0.781,1,0.5,1.101,0,"Robust (minor variation)","The association was retained in at least one independent alternative source and the overall pattern remained broadly consistent, with moderate variation in magnitude or shape."
"CR-Pa","Precipitation","full",3.09,"***",FALSE,6.56,"***",FALSE,4.25,"***",FALSE,0.857,0.906,0.907,"ERA5, MERRA2",TRUE,1,0.628,1,1,0.635,0,"Robust (minor variation)","The association was retained in at least one independent alternative source and the overall pattern remained broadly consistent, with moderate variation in magnitude or shape."
"CR-Pa","Precipitation","common",2.98,"***",FALSE,6.29,"***",FALSE,4.69,"***",FALSE,0.906,0.91,0.906,"ERA5, MERRA2",TRUE,1,0.865,1,1,0.977,0,"Robust","All independent alternative sources retained the association, with high overall curve agreement and comparable percentile-based effect magnitude."
"CR-Pa","Humidity","full",0,"ns",TRUE,1.99,"***",FALSE,3.07,"***",FALSE,1,0.93,0.815,"MERRA2",FALSE,1,0.721,0,1,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"CR-Pa","Humidity","common",1.28,"**",FALSE,2.05,"**",FALSE,2.4,"***",FALSE,0.914,0.94,0.855,"MERRA2",TRUE,1,0.575,1,1,1.746,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"CR-Pa","WetDays","full",2.94,"***",FALSE,0,"ns",TRUE,0.18,".",FALSE,1.304,1,1.078,"ERA5, MERRA2",TRUE,0,0.753,0.5,0.5,0.141,0,"Product-sensitive (lost)","Primary model was supported, but all independent alternative sources lost the association."
"CR-Pa","WetDays","common",1.74,"***",FALSE,0.48,"*",FALSE,0.05,"ns",FALSE,1.231,1.055,1.028,"ERA5, MERRA2",TRUE,0.5,0.635,0.5,1,0.195,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
