"CV","EDF","F_stat","Pval","Sig","SigL","PenOut","Bacteria","Source","Mode"
"Temperature",1.58534318314576,1.88697799122238,0.00264040845467173,TRUE,"**",FALSE,"3GCR-Ec","MERRA2","common"
"Precipitation",2.31730701093651,1.94962086858178,2.29494141192887e-05,TRUE,"***",FALSE,"3GCR-Ec","MERRA2","common"
"Humidity",0.805564119621152,0.465505559571852,0.0131156308355531,TRUE,"*",FALSE,"3GCR-Ec","MERRA2","common"
"WetDays",4.02030615460611,2.2764906240325,4.9206382084499e-05,TRUE,"***",FALSE,"3GCR-Ec","MERRA2","common"
"Temperature",2.30203570156343,4.72396115247489,1.22202650476577e-05,TRUE,"***",FALSE,"3GCR-Kp","Primary","full"
"Precipitation",5.5442000750762,8.7262618500764,0,TRUE,"***",FALSE,"3GCR-Kp","Primary","full"
"Humidity",2.19444375535945,1.03792465766355,0.00189562459205872,TRUE,"**",FALSE,"3GCR-Kp","Primary","full"
"WetDays",9.60770464096465e-05,6.04397521199051e-06,0.468907876828758,FALSE,"ns",TRUE,"3GCR-Kp","Primary","full"
"Temperature",1.40083474587401,0.941495590320116,0.0380844715704278,TRUE,"*",FALSE,"3GCR-Kp","Primary","common"
"Precipitation",4.68502486779771,5.82145234369899,0,TRUE,"***",FALSE,"3GCR-Kp","Primary","common"
"Humidity",1.78306155725018,0.490670641223089,0.0345733485336838,TRUE,"*",FALSE,"3GCR-Kp","Primary","common"
"WetDays",4.07914034622795e-05,3.1083439032319e-06,0.408642624207384,FALSE,"ns",TRUE,"3GCR-Kp","Primary","common"
"Temperature",2.77295271512509,5.15944321200753,6.21500057051971e-06,TRUE,"***",FALSE,"3GCR-Kp","ERA5","full"
"Precipitation",5.08099850196822,7.68021921429482,0,TRUE,"***",FALSE,"3GCR-Kp","ERA5","full"
"Humidity",2.48824423775799,1.66193219736166,8.93824508907404e-05,TRUE,"***",FALSE,"3GCR-Kp","ERA5","full"
"WetDays",1.57549103742705e-05,3.31563367779294e-07,0.73458465263306,FALSE,"ns",TRUE,"3GCR-Kp","ERA5","full"
"Temperature",1.86809897065331,3.14327593615757,0.000162779800942925,TRUE,"***",FALSE,"3GCR-Kp","ERA5","common"
"Precipitation",5.68955281979497,8.19419680877596,0,TRUE,"***",FALSE,"3GCR-Kp","ERA5","common"
"Humidity",2.11339581880315,0.844797801848189,0.0058098492908023,TRUE,"**",FALSE,"3GCR-Kp","ERA5","common"
"WetDays",9.41308860443168e-06,2.00121097093151e-07,0.767960289364309,FALSE,"ns",TRUE,"3GCR-Kp","ERA5","common"
"Temperature",1.77958438410497,3.09170893035342,0.000381732324500339,TRUE,"***",FALSE,"3GCR-Kp","MERRA2","full"
"Precipitation",4.1155498647118,3.97676353290032,0,TRUE,"***",FALSE,"3GCR-Kp","MERRA2","full"
"Humidity",1.99567470004444,0.695430574783451,0.0192602472490324,TRUE,"*",FALSE,"3GCR-Kp","MERRA2","full"
"WetDays",2.45487478833503e-05,2.33739747645889e-06,0.309695633795611,FALSE,"ns",TRUE,"3GCR-Kp","MERRA2","full"
"Temperature",1.56418471646206,2.06423240399653,0.00228290747992732,TRUE,"**",FALSE,"3GCR-Kp","MERRA2","common"
"Precipitation",4.77181644623285,3.51797916103423,1.41505580586454e-06,TRUE,"***",FALSE,"3GCR-Kp","MERRA2","common"
"Humidity",3.1636724342281e-05,1.67177787248297e-06,0.572010218571754,FALSE,"ns",TRUE,"3GCR-Kp","MERRA2","common"
"WetDays",0.171516982086125,0.0205989735351456,0.259949318676947,FALSE,"ns",FALSE,"3GCR-Kp","MERRA2","common"
"Temperature",2.77994414288766,23.6056447554436,0,TRUE,"***",FALSE,"CR-Ab","Primary","full"
"Precipitation",2.22227219338325,1.12147853453221,0.00211947016480329,TRUE,"**",FALSE,"CR-Ab","Primary","full"
"Humidity",2.04036712028821e-05,3.27258942910036e-07,0.819004703016254,FALSE,"ns",TRUE,"CR-Ab","Primary","full"
"WetDays",1.11846673728693,0.364826125052446,0.0379762353988293,TRUE,"*",FALSE,"CR-Ab","Primary","full"
"Temperature",3.21753328558116,20.1988946619604,0,TRUE,"***",FALSE,"CR-Ab","Primary","common"
"Precipitation",2.11802103472125,1.15676613245479,0.00360143492492482,TRUE,"**",FALSE,"CR-Ab","Primary","common"
"Humidity",7.73565215039328e-06,1.12414070429392e-07,0.884290302985243,FALSE,"ns",TRUE,"CR-Ab","Primary","common"
"WetDays",1.02033932849163,0.345334204563516,0.0451767914623857,TRUE,"*",FALSE,"CR-Ab","Primary","common"
"Temperature",2.66867151108412,15.1784331304725,0,TRUE,"***",FALSE,"CR-Ab","ERA5","full"
"Precipitation",1.99370522116942,0.70404212869162,0.0201439715115304,TRUE,"*",FALSE,"CR-Ab","ERA5","full"
"Humidity",9.72785705278216e-06,2.51445228255166e-07,0.731206752088257,FALSE,"ns",TRUE,"CR-Ab","ERA5","full"
"WetDays",1.29523649861383,0.529520079571827,0.0135328359147622,TRUE,"*",FALSE,"CR-Ab","ERA5","full"
"Temperature",3.18311416189032,11.3069522285204,0,TRUE,"***",FALSE,"CR-Ab","ERA5","common"
"Precipitation",1.89194534888251,0.806983349626214,0.0107835044328356,TRUE,"*",FALSE,"CR-Ab","ERA5","common"
"Humidity",8.70187458544039e-06,6.40506076515581e-07,0.40989102078962,FALSE,"ns",TRUE,"CR-Ab","ERA5","common"
"WetDays",0.831699299680493,0.551465181717081,0.00924608626748458,TRUE,"**",FALSE,"CR-Ab","ERA5","common"
"Temperature",0.426798652910901,0.186141933685918,0.116956317268365,FALSE,"ns",FALSE,"CR-Ab","MERRA2","full"
"Precipitation",2.04883651342397e-05,2.90422865659626e-07,0.894768641000825,FALSE,"ns",TRUE,"CR-Ab","MERRA2","full"
"Humidity",1.0083924806267,0.240879344013319,0.0785328723634069,FALSE,".",FALSE,"CR-Ab","MERRA2","full"
"WetDays",5.35777193561296,3.25087004809666,2.55746682586988e-06,TRUE,"***",FALSE,"CR-Ab","MERRA2","full"
"Temperature",0.000355049777361498,8.85092349759066e-05,0.232690656533384,FALSE,"ns",TRUE,"CR-Ab","MERRA2","common"
"Precipitation",1.48817638481767e-05,2.05419607074967e-07,0.893219800397249,FALSE,"ns",TRUE,"CR-Ab","MERRA2","common"
"Humidity",5.55859961078508,2.29575231912211,0.00028062009226848,TRUE,"***",FALSE,"CR-Ab","MERRA2","common"
"WetDays",3.53046320528783,1.42246146600927,0.00164987110158821,TRUE,"**",FALSE,"CR-Ab","MERRA2","common"
"Temperature",2.20721148761753,3.29586995831395,0.0008143128704029,TRUE,"***",FALSE,"CR-Ec","Primary","full"
"Precipitation",0.6311363617243,0.202326061229544,0.0791864763245814,FALSE,".",FALSE,"CR-Ec","Primary","full"
"Humidity",0.000334828935937567,6.659151451235e-06,0.88706708335503,FALSE,"ns",TRUE,"CR-Ec","Primary","full"
"WetDays",3.75351142952188,3.42481028730187,1.69973452046612e-06,TRUE,"***",FALSE,"CR-Ec","Primary","full"
"Temperature",2.17592893184838,3.18108336472,0.00100296171499348,TRUE,"**",FALSE,"CR-Ec","Primary","common"
"Precipitation",0.000969437309244578,0.000105736608881775,0.310246111277109,FALSE,"ns",TRUE,"CR-Ec","Primary","common"
"Humidity",0.000163041703137862,1.44524528710841e-06,0.974447658242707,FALSE,"ns",TRUE,"CR-Ec","Primary","common"
"WetDays",3.67914441609127,2.65663997392242,2.58714013943173e-05,TRUE,"***",FALSE,"CR-Ec","Primary","common"
"Temperature",1.53265457897793,1.38100427881414,0.0182695331702905,TRUE,"*",FALSE,"CR-Ec","ERA5","full"
"Precipitation",1.15166416869457,0.509990419817776,0.0195840359213535,TRUE,"*",FALSE,"CR-Ec","ERA5","full"
"Humidity",6.35407547639995e-05,1.62970609414939e-06,0.824200809279573,FALSE,"ns",TRUE,"CR-Ec","ERA5","full"
"WetDays",1.78087798523933,1.08765236291327,0.00147320674595108,TRUE,"**",FALSE,"CR-Ec","ERA5","full"
"Temperature",1.55731714911223,1.32167499915671,0.020803797490316,TRUE,"*",FALSE,"CR-Ec","ERA5","common"
"Precipitation",0.795199132074632,0.512553385130247,0.0168144733268198,TRUE,"*",FALSE,"CR-Ec","ERA5","common"
"Humidity",8.14465198198262e-05,1.27124589432942e-06,0.915947953511334,FALSE,"ns",TRUE,"CR-Ec","ERA5","common"
"WetDays",1.79787490298112,1.05079554134211,0.00217489959472139,TRUE,"**",FALSE,"CR-Ec","ERA5","common"
"Temperature",2.02090526406349,3.06753021041522,0.000691663660063346,TRUE,"***",FALSE,"CR-Ec","MERRA2","full"
"Precipitation",0.00629975554013737,0.000666857947284749,0.296924169376102,FALSE,"ns",TRUE,"CR-Ec","MERRA2","full"
"Humidity",0.000120028454060265,6.33007010432295e-06,0.618453372318591,FALSE,"ns",TRUE,"CR-Ec","MERRA2","full"
"WetDays",2.49610553373942,1.06199397332012,0.0053376994194817,TRUE,"**",FALSE,"CR-Ec","MERRA2","full"
"Temperature",1.80091160151382,2.21448724984246,0.00366191411560091,TRUE,"**",FALSE,"CR-Ec","MERRA2","common"
"Precipitation",0.000306370594569919,3.06843635300481e-05,0.346718523459499,FALSE,"ns",TRUE,"CR-Ec","MERRA2","common"
"Humidity",0.000368242271674731,2.17521759937766e-05,0.564098277719578,FALSE,"ns",TRUE,"CR-Ec","MERRA2","common"
"WetDays",2.31355503730188,0.897510309312141,0.00981563471185742,TRUE,"**",FALSE,"CR-Ec","MERRA2","common"
"Temperature",2.82286116230478,3.64851395263078,0.000565228341013468,TRUE,"***",FALSE,"CR-Kp","Primary","full"
"Precipitation",2.18893985180948,0.779982577368273,0.0146069723160389,TRUE,"*",FALSE,"CR-Kp","Primary","full"
"Humidity",0.19795358040191,0.0277805318814813,0.222046245547693,FALSE,"ns",FALSE,"CR-Kp","Primary","full"
"WetDays",5.36147826575098,4.10779690963938,6.77052128361666e-07,TRUE,"***",FALSE,"CR-Kp","Primary","full"
"Temperature",2.26176986389341,3.22457866180407,0.00075296586788709,TRUE,"***",FALSE,"CR-Kp","Primary","common"
"Precipitation",0.845595048571779,0.673740294762682,0.00685589881502024,TRUE,"**",FALSE,"CR-Kp","Primary","common"
"Humidity",0.0417378068943823,0.00483730586034299,0.266680714281616,FALSE,"ns",FALSE,"CR-Kp","Primary","common"
"WetDays",5.32918079674404,4.64520055279621,0,TRUE,"***",FALSE,"CR-Kp","Primary","common"
"Temperature",2.18654947519698,2.89425142754566,0.000948745087402059,TRUE,"***",FALSE,"CR-Kp","ERA5","full"
"Precipitation",3.43069406596767,1.22281449083724,0.0107404130554829,TRUE,"*",FALSE,"CR-Kp","ERA5","full"
"Humidity",9.96717116332374e-05,7.60600444706089e-06,0.4369231641588,FALSE,"ns",TRUE,"CR-Kp","ERA5","full"
"WetDays",0.632334454383415,0.119861872259753,0.139682491282222,FALSE,"ns",FALSE,"CR-Kp","ERA5","full"
"Temperature",2.46265585257293,2.11079671030075,0.00551277950884477,TRUE,"**",FALSE,"CR-Kp","ERA5","common"
"Precipitation",3.17860856137807,0.993874136513803,0.0208109778098535,TRUE,"*",FALSE,"CR-Kp","ERA5","common"
"Humidity",0.00124580713918712,0.000126659677177191,0.310959796188698,FALSE,"ns",TRUE,"CR-Kp","ERA5","common"
"WetDays",0.000106762089915881,7.53953149167229e-06,0.426561016926674,FALSE,"ns",TRUE,"CR-Kp","ERA5","common"
"Temperature",3.32553796755365,7.74660546744493,6.82541394514402e-07,TRUE,"***",FALSE,"CR-Kp","MERRA2","full"
"Precipitation",2.79670695744402e-05,8.40329935831436e-07,0.692473812967769,FALSE,"ns",TRUE,"CR-Kp","MERRA2","full"
"Humidity",2.94824671967968,1.37152901723952,0.00113180759178677,TRUE,"**",FALSE,"CR-Kp","MERRA2","full"
"WetDays",1.43209353713168,0.511970606798703,0.0197163351186093,TRUE,"*",FALSE,"CR-Kp","MERRA2","full"
"Temperature",3.29408035392178,6.9289747961465,1.67280281249127e-06,TRUE,"***",FALSE,"CR-Kp","MERRA2","common"
"Precipitation",5.22771107230372e-05,3.39731560998124e-06,0.477712531588176,FALSE,"ns",TRUE,"CR-Kp","MERRA2","common"
"Humidity",2.96273324210922,1.41910388120276,0.0008959965292199,TRUE,"***",FALSE,"CR-Kp","MERRA2","common"
"WetDays",1.20288759966027,0.35067008160318,0.0445872478111716,TRUE,"*",FALSE,"CR-Kp","MERRA2","common"
"Temperature",0.996435538418797,0.70715428573655,0.0243535683606766,TRUE,"*",FALSE,"CR-Pa","Primary","full"
"Precipitation",3.13735879270844,3.08633893307047,9.30694234679841e-07,TRUE,"***",FALSE,"CR-Pa","Primary","full"
"Humidity",2.33415095421861e-05,1.9184288870925e-06,0.416703377642127,FALSE,"ns",TRUE,"CR-Pa","Primary","full"
"WetDays",3.06511841723751,2.94170823266439,6.82881932334567e-07,TRUE,"***",FALSE,"CR-Pa","Primary","full"
"Temperature",2.12448457934074,1.99235183955307,0.00213517864130208,TRUE,"**",FALSE,"CR-Pa","Primary","common"
"Precipitation",3.7024615462913,2.98401904189701,1.41501346484496e-06,TRUE,"***",FALSE,"CR-Pa","Primary","common"
"Humidity",3.8794893672198,1.28421396538751,0.00720772586089391,TRUE,"**",FALSE,"CR-Pa","Primary","common"
"WetDays",2.7340816567796,1.74065267442091,8.981063232949e-05,TRUE,"***",FALSE,"CR-Pa","Primary","common"
"Temperature",2.91186824935819,3.24851629203655,0.000221269315206163,TRUE,"***",FALSE,"CR-Pa","ERA5","full"
"Precipitation",5.67328172824872,6.5609245184672,0,TRUE,"***",FALSE,"CR-Pa","ERA5","full"
"Humidity",4.64604712505115,1.9904345110678,0.000197735974625579,TRUE,"***",FALSE,"CR-Pa","ERA5","full"
"WetDays",0.000303923368758137,2.25549421957581e-05,0.413623926601324,FALSE,"ns",TRUE,"CR-Pa","ERA5","full"
"Temperature",1.55087967000725,2.98916585365035,0.000304742867583974,TRUE,"***",FALSE,"CR-Pa","ERA5","common"
"Precipitation",3.88694473899651,6.28795877521554,0,TRUE,"***",FALSE,"CR-Pa","ERA5","common"
"Humidity",4.5288145557819,2.04646084975696,0.00193179118023823,TRUE,"**",FALSE,"CR-Pa","ERA5","common"
"WetDays",1.57102647677212,0.479236695475943,0.0312713913765671,TRUE,"*",FALSE,"CR-Pa","ERA5","common"
"Temperature",2.50601516533551,2.68658619387552,0.00578504279797798,TRUE,"**",FALSE,"CR-Pa","MERRA2","full"
"Precipitation",3.46667547806425,4.24552790738742,0,TRUE,"***",FALSE,"CR-Pa","MERRA2","full"
"Humidity",4.01247043002809,3.07405508963301,6.28991480144947e-06,TRUE,"***",FALSE,"CR-Pa","MERRA2","full"
"WetDays",0.6034634275782,0.178413618922929,0.0856370315291322,FALSE,".",FALSE,"CR-Pa","MERRA2","full"
"Temperature",2.08357489926174,1.46850540855153,0.0385562440822118,TRUE,"*",FALSE,"CR-Pa","MERRA2","common"
"Precipitation",4.16638359052727,4.68878968729069,0,TRUE,"***",FALSE,"CR-Pa","MERRA2","common"
"Humidity",3.89627981828576,2.40366790853509,8.06827651266273e-05,TRUE,"***",FALSE,"CR-Pa","MERRA2","common"
"WetDays",0.278099250945917,0.0496410401845094,0.206893935448353,FALSE,"ns",FALSE,"CR-Pa","MERRA2","common"
