"Bacteria","Climate_Factor","NAME","Region","Climate_Zone_Majority","n_observations","effect","se","OR","CI_Lower","CI_Upper","Z_value","P_Value","Significance","Effect_Direction"
"3GCR-Kp","Temperature","Cyprus","Europe and Central Asia","Temperate Zone",13,-0.0950110816088153,0.0401930653312292,0.909362857208941,0.840473807465737,0.9838983662854,-2.36386751858395,0.0180852785979897,"*","Negative"
"CR-Ab","Temperature","Cyprus","Europe and Central Asia","Temperate Zone",6,0.290972229278361,0.073716545244344,1.337727433778,1.15776080674448,1.54566873974101,3.94717669301907,7.90781972808752e-05,"***","Positive"
"CR-Ec","Temperature","Cyprus","Europe and Central Asia","Temperate Zone",16,-0.0382245874174299,0.0210403339667911,0.962496751955644,0.923611600035779,1.00301901523246,-1.81672912025834,0.0692586005564474,"","Negative"
"CR-Kp","Temperature","Cyprus","Europe and Central Asia","Temperate Zone",13,0.209110108792888,0.0735016717889654,1.23258070903267,1.06720900283824,1.42357794981022,2.84497078370238,0.00444154967533888,"**","Positive"
"CR-Pa","Temperature","Cyprus","Europe and Central Asia","Temperate Zone",15,0.0616891173251694,0.0411829307295424,1.06363162867799,0.981150489596005,1.15304660551107,1.49792926905314,0.134151628246604,"","Positive"
"3GCR-Ec","Temperature","Czechia","Europe and Central Asia","Temperate Zone",17,0.0967840864339493,0.0386163246793471,1.10162249270024,1.021320185643,1.18823864786246,2.50629978998782,0.0122002129066823,"*","Positive"
"3GCR-Kp","Temperature","Czechia","Europe and Central Asia","Temperate Zone",13,0.0329588826029177,0.017299921858407,1.03350804320705,0.999051485884609,1.06915298206867,1.90514632798189,0.0567610526962729,"","Positive"
"CR-Ab","Temperature","Czechia","Europe and Central Asia","Temperate Zone",5,-0.0540862080948943,0.0327050921707818,0.947350433705334,0.888528825751278,1.01006609828651,-1.65375495083344,0.0981773125657759,"","Negative"
"CR-Ec","Temperature","Czechia","Europe and Central Asia","Temperate Zone",14,0.0179556705009416,0.00794440144967105,1.01811784273547,1.00238748918368,1.0340950509473,2.26016656065198,0.0238109153848119,"*","Positive"
"CR-Kp","Temperature","Czechia","Europe and Central Asia","Temperate Zone",12,-0.0791678107323857,0.0290855663481348,0.923884873638571,0.872689443917929,0.978083630651123,-2.72189338810873,0.00649090789198617,"**","Negative"
"CR-Pa","Temperature","Czechia","Europe and Central Asia","Temperate Zone",13,-0.0204715331043105,0.013258075696997,0.979736586136751,0.954605262666951,1.00552952697243,-1.54408027018185,0.122568887875315,"","Negative"
"3GCR-Ec","Temperature","Denmark","Europe and Central Asia","Temperate Zone",15,0.0979324092513826,0.0365987571802083,1.10288823754756,1.02654505171401,1.18490899399867,2.67583974967167,0.00745422776006786,"**","Positive"
"3GCR-Kp","Temperature","Denmark","Europe and Central Asia","Temperate Zone",14,0.0357785902866751,0.0163453422600015,1.03642634622487,1.00374872842846,1.07016780268388,2.1889165560166,0.0286029055066915,"*","Positive"
"CR-Ab","Temperature","Denmark","Europe and Central Asia","Temperate Zone",8,-0.0655306411396777,0.0341860384511702,0.936570348737086,0.875872035857864,1.00147508108805,-1.91688315197091,0.0552527779442113,"","Negative"
"CR-Ec","Temperature","Denmark","Europe and Central Asia","Temperate Zone",15,0.0160884506606889,0.00761375458235668,1.01621856663463,1.00116617112864,1.0314972728341,2.11307712727839,0.0345941670227802,"*","Positive"
"CR-Kp","Temperature","Denmark","Europe and Central Asia","Temperate Zone",14,-0.0775312382039643,0.0286500051522671,0.925398116170018,0.874865386637631,0.978849645317745,-2.70615093407162,0.00680681008678151,"**","Negative"
"CR-Pa","Temperature","Denmark","Europe and Central Asia","Temperate Zone",14,-0.0193229065120305,0.0125558221869368,0.980862584184869,0.957018728224184,1.00530050319814,-1.53895987250714,0.123814092897176,"","Negative"
"3GCR-Kp","Temperature","Egypt","Middle East and North Africa","Temperate Zone",2,-0.135286336820998,0.0365997067913625,0.873465770465457,0.813001957139092,0.938426341382456,-3.69637761286452,0.000218697612964742,"***","Negative"
"CR-Kp","Temperature","Egypt","Middle East and North Africa","Temperate Zone",2,0.0883558293442802,0.114454543968308,1.0923767525846,0.872864386761979,1.36709320220286,0.771973101991878,0.440130358695482,"","Positive"
"3GCR-Ec","Temperature","Estonia","Europe and Central Asia","Temperate Zone",19,0.0703624224289254,0.0568994052740363,1.0728969527198,0.959675174274023,1.19947655416452,1.23661085893691,0.216231586560294,"","Positive"
"3GCR-Kp","Temperature","Estonia","Europe and Central Asia","Temperate Zone",15,-0.0071251341482709,0.0291157392511287,0.992900189439696,0.937824935726566,1.05120982459867,-0.244717610870714,0.806675091080329,"","Negative"
"CR-Ec","Temperature","Estonia","Europe and Central Asia","Temperate Zone",19,0.0326685337710676,0.0119646836779252,1.03320800891341,1.00926036809003,1.05772387724193,2.73041349445291,0.00632549314958836,"**","Positive"
"CR-Kp","Temperature","Estonia","Europe and Central Asia","Temperate Zone",13,-0.095299078188491,0.0485115772626412,0.909101001524961,0.826643486322509,0.999783636656211,-1.96446051779646,0.0494767106400123,"*","Negative"
"CR-Pa","Temperature","Estonia","Europe and Central Asia","Temperate Zone",12,-0.0236819302573138,0.0182246112428461,0.976596286092249,0.942327718610837,1.01211105984992,-1.29944776005084,0.193790310283707,"","Negative"
"3GCR-Ec","Temperature","Finland","Europe and Central Asia","Temperate Zone",19,-0.0139773105296847,0.0695921385239219,0.98611991854765,0.860382774578964,1.13023240642201,-0.200846113169522,0.840818904441226,"","Negative"
"3GCR-Kp","Temperature","Finland","Europe and Central Asia","Temperate Zone",15,-0.116227439629438,0.0491799081932499,0.890272716972517,0.808463246649172,0.980360596317331,-2.36331143955633,0.0181124412112097,"*","Negative"
"CR-Ab","Temperature","Finland","Europe and Central Asia","Temperate Zone",4,-1.1373725858413,0.155824931818053,0.320660423714039,0.236267780939444,0.435197329604669,-7.29904112628997,2.89825729691458e-13,"***","Negative"
"CR-Ec","Temperature","Finland","Europe and Central Asia","Temperate Zone",19,0.0421087905202477,0.0147218425443254,1.04300794195542,1.01334220245394,1.07354215027033,2.86029349882421,0.00423249097862786,"**","Positive"
"CR-Kp","Temperature","Finland","Europe and Central Asia","Temperate Zone",15,-0.0840410854206665,0.0818365399844951,0.919393481651189,0.78314242436605,1.07934948714718,-1.02693839984668,0.30444947116794,"","Negative"
"CR-Pa","Temperature","Finland","Europe and Central Asia","Temperate Zone",16,-0.0139700777801038,0.0183570631797358,0.986127050931871,0.951277061729332,1.02225376780533,-0.76101921333066,0.446645591394663,"","Negative"
"3GCR-Ec","Temperature","France","Europe and Central Asia","Temperate Zone",18,0.0575304904179249,0.034523640719302,1.05921756614864,0.989915349176257,1.13337150835318,1.66640856002652,0.0956320670118925,"","Positive"
"3GCR-Kp","Temperature","France","Europe and Central Asia","Temperate Zone",15,0.0439744929823676,0.016993259928348,1.04495570084503,1.01072480634338,1.0803459159956,2.58776086329438,0.0096602019142319,"**","Positive"
"CR-Ab","Temperature","France","Europe and Central Asia","Temperate Zone",8,0.153768532271616,0.0348089437166178,1.16622091302901,1.08930840341633,1.24856396381475,4.41750067234034,9.98487600966838e-06,"***","Positive"
"CR-Ec","Temperature","France","Europe and Central Asia","Temperate Zone",18,-0.0107559736277835,0.00693940023301326,0.989301665018208,0.975937044647431,1.00284930239673,-1.5499860602669,0.121144861827141,"","Negative"
"CR-Kp","Temperature","France","Europe and Central Asia","Temperate Zone",15,-0.00403544104706556,0.0276254400105307,0.995972690403483,0.943478875937425,1.05138718558373,-0.146076987209155,0.883860613074771,"","Negative"
"CR-Pa","Temperature","France","Europe and Central Asia","Temperate Zone",16,-0.00202593669671727,0.0098320070834872,0.997976114127852,0.978928502198899,1.01739434711787,-0.206055251945437,0.836747752411529,"","Negative"
"3GCR-Kp","Temperature","Georgia","Europe and Central Asia","Temperate Zone",1,0.0262667400595797,0.0195377357077646,1.02661475123465,0.988044816011355,1.06669032656557,1.34441065497374,0.178815630212959,"","Positive"
"CR-Ab","Temperature","Georgia","Europe and Central Asia","Temperate Zone",1,-0.0429088287058932,0.0311603399063508,0.957998728069402,0.901240532833624,1.01833143267206,-1.3770333967746,0.168501922712407,"","Negative"
"CR-Kp","Temperature","Georgia","Europe and Central Asia","Temperate Zone",1,-0.0712198734505383,0.0235138481827847,0.931257110901128,0.889312118295979,0.975180466747314,-3.02884805995646,0.00245488113014451,"**","Negative"
"3GCR-Ec","Temperature","Germany","Europe and Central Asia","Temperate Zone",20,0.0980034307856131,0.0327207449808187,1.10296656914385,1.03445091664268,1.17602027614538,2.99514668272571,0.00274312892333579,"**","Positive"
"3GCR-Kp","Temperature","Germany","Europe and Central Asia","Temperate Zone",15,0.044541374429405,0.013759065853158,1.04554823477719,1.01772892969535,1.07412797194724,3.2372382620134,0.00120692597508194,"**","Positive"
"CR-Ab","Temperature","Germany","Europe and Central Asia","Temperate Zone",8,0.00512388701461101,0.029806866501296,1.00513703657304,0.948097843767344,1.06560780507244,0.171902907485704,0.863513860771477,"","Positive"
"CR-Ec","Temperature","Germany","Europe and Central Asia","Temperate Zone",19,0.00938992614964804,0.00667740790086292,1.00943414981681,0.996309035082448,1.022732171381,1.40622323647992,0.159657846284526,"","Positive"
"CR-Kp","Temperature","Germany","Europe and Central Asia","Temperate Zone",15,-0.063112935792603,0.023979053038261,0.938837439351371,0.895733915205989,0.984015143967329,-2.63200284397804,0.00848831523298572,"**","Negative"
"CR-Pa","Temperature","Germany","Europe and Central Asia","Temperate Zone",16,-0.015644673682927,0.010692884143417,0.984477068525189,0.964059054296683,1.0053275202721,-1.46309204075296,0.143442195467713,"","Negative"
"CR-Pa","Temperature","Ghana","Sub-Saharan Africa","Tropical Zone",1,0.0525717346093097,0.0329253790549311,1.05397816607876,0.98810925206121,1.12423800531515,1.59669337508921,0.110334073126129,"","Positive"
"3GCR-Ec","Temperature","Greece","Europe and Central Asia","Temperate Zone",20,-0.162804627957308,0.0692619134869775,0.849757190996127,0.741887267172521,0.973311331250699,-2.35056497519259,0.0187449346420274,"*","Negative"
"3GCR-Kp","Temperature","Greece","Europe and Central Asia","Temperate Zone",15,-0.0386671550709949,0.0324214129318995,0.96207087627292,0.902837114528931,1.02519087449731,-1.19264250303385,0.233009412511426,"","Negative"
"CR-Ab","Temperature","Greece","Europe and Central Asia","Temperate Zone",8,0.401924107004327,0.0593796488608219,1.4946978912708,1.33048028719394,1.67918443262415,6.76871815032764,1.29928370487517e-11,"***","Positive"
"CR-Ec","Temperature","Greece","Europe and Central Asia","Temperate Zone",20,-0.0408030692981149,0.013569823208708,0.960018168385175,0.934821270242065,0.98589421632541,-3.00689763385649,0.00263928623140126,"**","Negative"
"CR-Kp","Temperature","Greece","Europe and Central Asia","Temperate Zone",15,0.176068399054602,0.051901614459922,1.19251962307599,1.07717431205705,1.32021626908791,3.39234917616216,0.00069296070314741,"***","Positive"
"CR-Pa","Temperature","Greece","Europe and Central Asia","Temperate Zone",16,0.0355434736991802,0.0227859826901351,1.03618269384363,0.990924381933314,1.08350808053213,1.55988329239661,0.118787463409768,"","Positive"
"3GCR-Ec","Temperature","Hungary","Europe and Central Asia","Temperate Zone",19,0.0679110025049019,0.0336950717103452,1.0702700528863,1.00187040898941,1.14333947367573,2.01545801975699,0.0438566804569198,"*","Positive"
"3GCR-Kp","Temperature","Hungary","Europe and Central Asia","Temperate Zone",15,0.0453710050196746,0.0163897644956049,1.04641601349447,1.01333519772476,1.08057676843382,2.76825240727781,0.00563577893808727,"**","Positive"
"CR-Ab","Temperature","Hungary","Europe and Central Asia","Temperate Zone",8,0.140436035603991,0.03449523336151,1.15077546855284,1.07554270732868,1.23127065991841,4.07117221478753,4.67771501025512e-05,"***","Positive"
"CR-Ec","Temperature","Hungary","Europe and Central Asia","Temperate Zone",19,-0.00738299191413336,0.00675419536870831,0.992644195421564,0.979589948441919,1.00587240637917,-1.09309718050772,0.27435113379767,"","Negative"
"CR-Kp","Temperature","Hungary","Europe and Central Asia","Temperate Zone",15,-0.0122099982401123,0.0269212753030868,0.987864241326216,0.937090236423015,1.04138931488183,-0.453544570331417,0.650156656832269,"","Negative"
"CR-Pa","Temperature","Hungary","Europe and Central Asia","Temperate Zone",16,-0.00410382072371046,0.00967987162597399,0.995904588441388,0.977187853956292,1.01497981709766,-0.423954044255988,0.671599328829962,"","Negative"
"3GCR-Ec","Temperature","Iceland","Europe and Central Asia","Temperate Zone",19,-0.0185764160505826,0.0696656259820663,0.981595062107831,0.856311520715914,1.12520834140936,-0.266651103592533,0.789737804733979,"","Negative"
"3GCR-Kp","Temperature","Iceland","Europe and Central Asia","Temperate Zone",1,-0.142311835040058,0.0541301857355482,0.867350743956477,0.780042402121562,0.964431306549175,-2.62906607664934,0.00856197227172975,"**","Negative"
"CR-Ec","Temperature","Iceland","Europe and Central Asia","Temperate Zone",10,0.0423434007201045,0.0147710227287925,1.04325267096397,1.01348227329181,1.07389755514755,2.86665327767496,0.00414837220754032,"**","Positive"
"3GCR-Ec","Temperature","India","South Asia","Tropical Zone",10,0.0857701566094512,0.0482141895805372,1.08955587230752,0.991308337834467,1.19754061735536,1.77894012853167,0.0752495782341553,"","Positive"
"3GCR-Kp","Temperature","India","South Asia","Tropical Zone",10,0.0239565374155884,0.0206019712955677,1.02424580055364,0.983710801222723,1.06645109380501,1.1628274339331,0.244899524084384,"","Positive"
"CR-Ab","Temperature","India","South Asia","Tropical Zone",10,-0.359023035616932,0.0609730039964539,0.698358264052832,0.619693595783161,0.787008722196863,-5.8882294144112,3.90355007496547e-09,"***","Negative"
"CR-Ec","Temperature","India","South Asia","Tropical Zone",10,0.0317503639812904,0.0117145521236867,1.03225978391546,1.00882858591342,1.05623519829625,2.71033528606625,0.00672152240547552,"**","Positive"
"CR-Kp","Temperature","India","South Asia","Tropical Zone",10,-0.093040604934529,0.0439301483910597,0.911156502094878,0.835985763138561,0.993086494909805,-2.117921480854,0.0341817180534697,"*","Negative"
"CR-Pa","Temperature","India","South Asia","Tropical Zone",7,-0.0228119426942342,0.0190650762494149,0.977446282404797,0.941595509419541,1.01466205544664,-1.19653036766293,0.231489655275469,"","Negative"
"3GCR-Ec","Temperature","Ireland","Europe and Central Asia","Temperate Zone",18,0.0981238064353128,0.0316616737462146,1.10309934745269,1.03672522793059,1.17372292828203,3.09913516328378,0.00194086453715279,"**","Positive"
"3GCR-Kp","Temperature","Ireland","Europe and Central Asia","Temperate Zone",15,0.046311229955606,0.0129746369627881,1.04740034259659,1.0211004737182,1.07437760133114,3.569366147849,0.000357845995777563,"***","Positive"
"CR-Ab","Temperature","Ireland","Europe and Central Asia","Temperate Zone",7,-0.0102263106448845,0.0289373593356772,0.98982580028436,0.935248008678173,1.04758856027216,-0.353394742286535,0.723792526922483,"","Negative"
"CR-Ec","Temperature","Ireland","Europe and Central Asia","Temperate Zone",18,0.00823433758423675,0.00639988655515791,1.00826833298777,0.995699832248686,1.02099548315686,1.28663805416994,0.198220473457559,"","Positive"
